n,primes,n/log(n)
2,1,2.88539004
3,2,2.73071766
4,2,2.88539004
5,3,3.10667467
6,3,3.34866381
7,4,3.59728861
8,4,3.84718680
9,4,4.09607649
10,4,4.34294462
11,5,4.58735609
12,5,4.82915497
13,6,5.06832647
14,6,5.30492449
15,6,5.53904057
16,6,5.77078009
17,7,6.00025415
18,7,6.22757244
19,8,6.45284224
20,8,6.67616415
21,8,6.89763355
22,8,7.11733961
23,9,7.33536673
24,9,7.55179167
25,9,7.76668644
26,9,7.98011971
27,9,8.19215298
28,9,8.40284538
29,10,8.61225224
30,10,8.82042313
31,11,9.02740669
32,11,9.23324871
33,11,9.43798923
34,11,9.64166832
35,11,9.84432411
36,11,10.0459909
37,12,10.2467022
38,12,10.4464884
39,12,10.6453781
40,12,10.8434010
41,13,11.0405827
42,13,11.2369480
43,14,11.4325209
44,14,11.6273241
45,14,11.8213787
46,14,12.0147057
47,15,12.2073250
48,15,12.3992529
49,15,12.5905094
50,15,12.7811108
51,15,12.9710741
52,15,13.1604137
53,16,13.3491449
54,16,13.5372810
55,16,13.7248383
56,16,13.9118280
57,16,14.0982628
58,16,14.2841558
59,17,14.4695177
60,17,14.6543598
61,18,14.8386946
62,18,15.0225306
63,18,15.2058783
64,18,15.3887472
65,18,15.5711470
66,18,15.7530880
67,19,15.9345770
68,19,16.1156235
69,19,16.2962360
70,19,16.4764233
71,20,16.6561871
72,20,16.8355446
73,21,17.0144939
74,21,17.1930485
75,21,17.3712120
76,21,17.5489902
77,21,17.7263927
78,21,17.9034214
79,22,18.0800877
80,22,18.2563934
81,22,18.4323444
82,22,18.6079483
83,23,18.7832088
84,23,18.9581299
85,23,19.1327190
86,23,19.3069820
87,23,19.4809208
88,23,19.6545410
89,24,19.8278484
90,24,20.0008450
91,24,20.1735382
92,24,20.3459320
93,24,20.5180283
94,24,20.6898308
95,24,20.8613453
96,24,21.0325756
97,25,21.2035255
98,25,21.3741970
99,25,21.5445957
100,25,21.7147236
101,26,21.8845863
102,26,22.0541840
103,27,22.2235222
104,27,22.3926010
105,27,22.5614300
106,27,22.7300053
107,28,22.8983364
108,28,23.0664177
109,29,23.2342606
110,29,23.4018631
111,29,23.5692291
112,29,23.7363625
113,30,23.9032631
114,30,24.0699368
