Shaft Angle[degrees],Shaft Angle[radians],Excitation Amplitude (sin(shaft angle))
1,0.174532924E-01,0.987257138E-01
2,0.349065848E-01,0.197421357
3,0.523598790E-01,0.296056896
4,0.698131695E-01,0.394602180
5,0.872664601E-01,0.493027300
6,0.104719758,0.591302276
7,0.122173049,0.689397156
8,0.139626339,0.787281930
9,0.157079637,0.884927034
10,0.174532920,0.982302427
11,0.191986218,1.07937872
12,0.209439516,1.17612612
13,0.226892799,1.27251530
14,0.244346097,1.36851692
15,0.261799395,1.46410155
16,0.279252678,1.55924034
17,0.296705961,1.65390396
18,0.314159274,1.74806416
19,0.331612557,1.84169161
20,0.349065840,1.93475795
21,0.366519153,2.02723527
22,0.383972436,2.11909485
23,0.401425719,2.21030903
24,0.418879032,2.30084991
25,0.436332315,2.39068985
26,0.453785598,2.47980165
27,0.471238881,2.56815791
28,0.488692194,2.65573215
29,0.506145477,2.74249721
30,0.523598790,2.82842708
31,0.541052043,2.91349530
32,0.558505356,2.99767590
33,0.575958669,3.08094358
34,0.593411922,3.16327262
35,0.610865235,3.24463844
36,0.628318548,3.32501531
37,0.645771801,3.40437961
38,0.663225114,3.48270726
39,0.680678427,3.55997372
40,0.698131680,3.63615561
41,0.715584993,3.71123028
42,0.733038306,3.78517437
43,0.750491560,3.85796523
44,0.767944872,3.92958117
45,0.785398185,3.99999976
46,0.802851439,4.06920004
47,0.820304751,4.13716125
48,0.837758064,4.20386219
49,0.855211318,4.26928186
50,0.872664630,4.33340168
51,0.890117884,4.39620113
52,0.907571197,4.45766163
53,0.925024509,4.51776457
54,0.942477763,4.57649136
55,0.959931076,4.63382387
56,0.977384388,4.68974447
57,0.994837642,4.74423695
58,1.01229095,4.79728460
59,1.02974427,4.84887028
60,1.04719758,4.89897966
61,1.06465089,4.94759607
62,1.08210409,4.99470568
63,1.09955740,5.04029417
64,1.11701071,5.08434677
65,1.13446403,5.12685108
66,1.15191734,5.16779375
67,1.16937053,5.20716143
68,1.18682384,5.24494410
69,1.20427716,5.28112793
70,1.22173047,5.31570387
71,1.23918378,5.34866047
72,1.25663710,5.37998819
73,1.27409029,5.40967655
74,1.29154360,5.43771696
75,1.30899692,5.46410131
76,1.32645023,5.48882151
77,1.34390354,5.51186943
78,1.36135685,5.53323841
79,1.37881005,5.55292177
80,1.39626336,5.57091379
81,1.41371667,5.58720922
82,1.43116999,5.60180187
83,1.44862330,5.61468887
84,1.46607661,5.62586546
85,1.48352981,5.63532829
86,1.50098312,5.64307451
87,1.51843643,5.64910126
88,1.53588974,5.65340805
89,1.55334306,5.65599251
90,1.57079637,5.65685415
91,1.58824956,5.65599251
92,1.60570288,5.65340805
93,1.62315619,5.64910126
94,1.64060950,5.64307451
95,1.65806282,5.63532829
96,1.67551613,5.62586546
97,1.69296932,5.61468887
98,1.71042264,5.60180187
99,1.72787595,5.58720922
100,1.74532926,5.57091379
101,1.76278257,5.55292177
102,1.78023577,5.53323841
103,1.79768908,5.51186943
104,1.81514239,5.48882151
105,1.83259571,5.46410131
106,1.85004902,5.43771696
107,1.86750233,5.40967655
108,1.88495553,5.37998819
109,1.90240884,5.34866095
110,1.91986215,5.31570387
111,1.93731546,5.28112841
112,1.95476878,5.24494410
113,1.97222209,5.20716190
114,1.98967528,5.16779375
115,2.00712872,5.12685061
116,2.02458191,5.08434677
117,2.04203510,5.04029417
118,2.05948853,4.99470568
119,2.07694173,4.94759607
120,2.09439516,4.89897919
121,2.11184835,4.84887028
122,2.12930179,4.79728413
123,2.14675498,4.74423695
124,2.16420817,4.68974495
125,2.18166161,4.63382339
126,2.19911480,4.57649136
127,2.21656823,4.51776457
128,2.23402143,4.45766211
129,2.25147462,4.39620161
130,2.26892805,4.33340168
131,2.28638124,4.26928234
132,2.30383468,4.20386171
133,2.32128787,4.13716125
134,2.33874106,4.06920099
135,2.35619450,3.99999976
136,2.37364769,3.92958164
137,2.39110112,3.85796499
138,2.40855432,3.78517437
139,2.42600775,3.71122980
140,2.44346094,3.63615584
141,2.46091413,3.55997419
142,2.47836757,3.48270702
143,2.49582076,3.40438032
144,2.51327419,3.32501507
145,2.53072739,3.24463844
146,2.54818058,3.16327333
147,2.56563401,3.08094358
148,2.58308721,2.99767637
149,2.60054064,2.91349483
150,2.61799383,2.82842731
151,2.63544726,2.74249697
152,2.65290046,2.65573215
153,2.67035365,2.56815839
154,2.68780708,2.47980142
155,2.70526028,2.39069033
156,2.72271371,2.30084944
157,2.74016690,2.21030927
158,2.75762010,2.11909556
159,2.77507353,2.02723503
160,2.79252672,1.93475842
161,2.80998015,1.84169126
162,2.82743335,1.74806428
163,2.84488654,1.65390480
164,2.86233997,1.55924034
165,2.87979317,1.46410203
166,2.89724660,1.36851668
167,2.91469979,1.27251565
168,2.93215322,1.17612565
169,2.94960642,1.07937872
170,2.96705961,0.982303083
171,2.98451304,0.884926856
172,3.00196624,0.787282407
173,3.01941967,0.689396739
174,3.03687286,0.591302454
175,3.05432606,0.493028104
176,3.07177949,0.394602180
177,3.08923268,0.296057403
178,3.10668612,0.197421104
179,3.12413931,0.987260118E-01
180,3.14159274,-0.494537915E-06
181,3.15904593,-0.987256542E-01
182,3.17649913,-0.197420746
183,3.19395256,-0.296057045
184,3.21140575,-0.394601792
185,3.22885919,-0.493027717
186,3.24631238,-0.591302097
187,3.26376557,-0.689396381
188,3.28121901,-0.787282050
189,3.29867220,-0.884926438
190,3.31612563,-0.982302666
191,3.33357882,-1.07937837
192,3.35103226,-1.17612672
193,3.36848545,-1.27251530
194,3.38593864,-1.36851633
195,3.40339208,-1.46410179
196,3.42084527,-1.55923998
197,3.43829870,-1.65390456
198,3.45575190,-1.74806392
199,3.47320509,-1.84169102
200,3.49065852,-1.93475819
201,3.50811172,-2.02723479
202,3.52556515,-2.11909509
203,3.54301834,-2.21030879
204,3.56047153,-2.30084920
205,3.57792497,-2.39068985
206,3.59537816,-2.47980118
207,3.61283159,-2.56815839
208,3.63028479,-2.65573192
209,3.64773822,-2.74249768
210,3.66519141,-2.82842684
211,3.68264461,-2.91349459
212,3.70009804,-2.99767590
213,3.71755123,-3.08094335
214,3.73500466,-3.16327310
215,3.75245786,-3.24463797
216,3.76991105,-3.32501483
217,3.78736448,-3.40437984
218,3.80481768,-3.48270655
